BBL,Boro,Block ,Lot,PHN,Street,Owner Name,Bldg ID,BIN,Units,Housing Type,Tax Class,Program,HPD AM Oversight,Comments,Community District,City Council District,Assembly District,State Senatorial District,Congressional District,ZIP Code,Census Tract
1018610026,1,1861,26,111,WEST 106 STREET,111 West 106 Street HDFC,37590,1055963,15,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,193
1018210025,1,1821,25,11,ST NICHOLAS AVENUE,11-15 Saint Nicholas Avenue HDFC,27928,1054958,36,RENTAL  Shd be COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,216
1018440022,1,1844,22,15,WEST 108 STREET,11-15 West 108 Street HDFC,37719,1055720,25,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,193
1018440024,1,1844,24,11,WEST 108 STREET,11-15 West 108 Street HDFC,37714,1055721,12,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,193
1016250067,1,1625,67,114,EAST 98 STREET,112-114 East 98 Street HDFC,18753,1051746,15,COOP,2,Community Management Program (CMP),Mark Matthews,,111,5,68,30,12,10029,15802
1016250068,1,1625,68,112,EAST 98 STREET,112-114 East 98 Street HDFC,18752,1051747,15,COOP,2,Community Management Program (CMP),Mark Matthews,,111,5,68,30,12,10029,15802
1003480009,1,348,9,114,SUFFOLK STREET,114 Suffolk Street HDFC,28469,1004166,15,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,12,10002,1402
1016290006,1,1629,6,117,EAST 101 STREET,117 East 101 Street HDFC,18828,1051834,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,8,68,29,13,10029,166
1016300010,1,1630,10,119,EAST 102 STREET,119 East 102 Street HDFC,18875,1051879,25,RENTAL,2,Community Management Program (CMP),Graham Smokoski,,111,8,68,29,13,10029,166
1016340062,1,1634,62,122,EAST 107 STREET,120-22 East 107 Street HDFC,19135,1078921,5,COOP,2,Urban Homesteading Program (UHP),Mark Matthews,,111,8,68,29,13,10029,172
1016290008,1,1629,8,121,EAST 101 STREET,121 East 101 Street HDFC,18832,1051836,11,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,8,68,29,13,10029,166
1003540031,1,354,31,128,RIVINGTON STREET,121 Rivington Street HDFC,27431,1077468,20,COOP,2,Community Management Program (CMP),Mark Matthews,,103,1,65,26,12,10002,3001
1019220024,1,1922,24,121,ST NICHOLAS AVENUE,121-ST. NICHOLAS AVE HDFC,27937,1058377,26,RENTAL,2,Special Projects / DAMP,,,110,9,70,30,13,10026,218
1016290009,1,1629,9,123,EAST 101 STREET,123 East 101 Street HDFC,18834,1051837,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,8,68,29,13,10029,166
1016300012,1,1630,12,123,EAST 102 STREET,123-25 East 102 Street HDFC,18878,1051880,42,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,8,68,29,13,10029,166
1016290060,1,1629,60,124,EAST 102 STREET,124 East 102 Street HDFC,18879,1051856,10,COOP,2,Community Management Program (CMP),Mark Matthews,,111,8,68,29,13,10029,166
1016290010,1,1629,10,125,EAST 101 STREET,125 East 101 Street HDFC,18836,1051838,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,8,68,29,13,10029,166
1019180019,1,1918,19,127,WEST 133 STREET,127 West 133 Street HDFC,40554,1058220,24,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10030,226
1020060049,1,2006,49,128,WEST 138 STREET,128 West 138 Street HDFC,41120,1060012,60,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10030,228
1003440017,1,344,17,199,STANTON STREET,129-135 Ridge Street HDFC,28416,1004095,28,COOP,2,Community Management Program (CMP),Mark Matthews,,103,1,65,26,12,10002,2201
1016300016,1,1630,16,129,EAST 102 STREET,129-31 East 102 Street HDFC,18882,1051882,33,COOP,2,Community Management Program (CMP),Mark Matthews,,111,8,68,29,13,10029,166
1008010059,1,801,59,130,WEST 26 STREET,130 West 26 Street HDFC,31736,1015023,2,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,104,3,75,27,12,10001,91
1018420022,1,1842,22,19,WEST 106 STREET,13-19 Duke Ellington HDFC,37606,1055654,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,193
1018420023,1,1842,23,17,WEST 106 STREET,13-19 Duke Ellington HDFC,37605,1055655,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,193
1018420024,1,1842,24,15,WEST 106 STREET,13-19 Duke Ellington HDFC,37599,1055656,11,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,193
1018420025,1,1842,25,13,WEST 106 STREET,13-19 Duke Ellington HDFC,37597,1055657,11,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,193
1004140032,1,414,32,290,BROOME STREET,132 Eldridge Street HDFC,8659,1005469,15,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,7,10002,18
1018220053,1,1822,53,132,WEST 113 STREET,132 WEST 113TH STREET HDFC,38007,1054996,10,RENTAL  Shd be COOP,2,Participation Loan Program (PLP),Mark Matthews,,110,9,70,30,13,10026,216
1012200013,1,1220,13,133,WEST 89 STREET,133 West 89 Street HDFC,36714,1032437,15,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,6,69,30,10,10024,173
1004140001,1,414,1,134,ELDRIDGE STREET,134 Eldridge Street HDFC,21342,1005452,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,7,10002,18
1018220054,1,1822,54,134,WEST 113 STREET,134 W 113 ST HOUSING DEVET FUND CORP,38008,1054997,10,RENTAL,2,Housing Trust Fund,,Sweat Equity,110,9,70,30,13,10026,216
1007950061,1,795,61,134,WEST 20 STREET,134 West 20 Street HDFC,30897,1014737,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,104,3,75,27,12,10011,87
1012200012,1,1220,12,135,WEST 89 STREET,135 West 89 Street HDFC,36715,1032436,15,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,6,69,30,10,10024,173
1018250010,1,1825,10,135,WEST 115 STREET,135-137 West 115 Street HDFC,38219,1055041,21,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,218
1019170047,1,1917,47,136,WEST 133 STREET,136 West 133 Street HDFC,40559,1058178,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10030,226
1019010013,1,1901,13,139,WEST 116 STREET,137-139 West 116 Street HDFC,38324,1057396,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,218
1019010014,1,1901,14,137,WEST 116 STREET,137-139 West 116 Street HDFC,38323,1057397,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,218
1016250050,1,1625,50,1517,LEXINGTON AVENUE,138 East 98 Street HDFC,23928,1051741,14,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,5,68,29,12,10029,15802
1018490023,1,1849,23,14,MORNINGSIDE AVENUE,14 Morningside Avenue HDFC,25521,1055869,36,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,20102
1017170044,1,1717,44,14,WEST 119 STREET,14 West 118 Street HDFC,38662,1053199,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,190
1003440154,1,344,154,183,STANTON STREET,141 Attorney Street HDFC,28405,1004119,25,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,12,10002,2201
1021620051,1,2162,51,143,WADSWORTH AVENUE,143-45 Wadsworth Avenue HDFC,28989,1063907,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,112,10,72,31,13,10033,271
1021620052,1,2162,52,145,WADSWORTH AVENUE,143-45 Wadsworth Avenue HDFC,28990,1063908,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,112,10,72,31,13,10033,271
1018600013,1,1860,13,147,WEST 105 STREET,145-147 West 105 Street HDFC,37518,1079462,10,COOP,2,Community Management Program (CMP),Ron Sinacori,,107,7,69,30,13,10025,189
1019520004,1,1952,4,145,MORNINGSIDE AVENUE,145-57 Morningside Avenue HDFC,25523,1059306,24,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,109,9,70,30,13,10027,20901
