Date/Time,Lat,Lon,Base
2014-04-01T00:41:00Z,40.7575,-73.9818,B02617
2014-04-01T00:41:00Z,40.7976,-73.9403,B02682
2014-04-01T00:42:00Z,40.714,-74.0144,B02764
2014-04-01T00:43:00Z,40.7019,-74.0112,B02598
2014-04-01T00:43:00Z,40.6679,-73.8732,B02598
2014-04-01T00:43:00Z,40.7286,-74.0001,B02617
2014-04-01T00:43:00Z,40.7286,-74.0001,B02617
2014-04-01T00:43:00Z,40.712,-73.9631,B02682
2014-04-01T00:44:00Z,40.7438,-73.9923,B02598
2014-04-01T00:44:00Z,40.6604,-73.9461,B02682
2014-04-01T00:44:00Z,40.7643,-73.987,B02682
2014-04-01T00:44:00Z,40.759,-73.9725,B02682
2014-04-01T00:44:00Z,40.7396,-74.002,B02682
2014-04-01T00:45:00Z,40.762,-73.979,B02512
2014-04-01T00:45:00Z,40.7497,-74.043,B02682
2014-04-01T00:46:00Z,40.6448,-73.7824,B02598
2014-04-01T00:46:00Z,40.7642,-73.9885,B02617
2014-04-01T00:47:00Z,40.7808,-73.9496,B02682
2014-04-01T00:48:00Z,40.7263,-73.9917,B02598
2014-04-01T00:48:00Z,40.7036,-73.8955,B02598
2014-04-01T00:48:00Z,40.7136,-73.999,B02617
2014-04-01T00:48:00Z,40.7136,-73.999,B02617
2014-04-01T00:48:00Z,40.7171,-74.0091,B02682
2014-04-01T00:48:00Z,40.7557,-73.9921,B02682
2014-04-01T00:48:00Z,40.7416,-73.9991,B02682
2014-04-01T00:49:00Z,40.7652,-73.9714,B02598
2014-04-01T00:50:00Z,40.7473,-73.9876,B02598
2014-04-01T00:50:00Z,40.7395,-74.0019,B02764
2014-04-01T00:51:00Z,40.765,-73.9609,B02598
2014-04-01T00:52:00Z,40.7611,-73.9694,B02598
2014-04-01T00:52:00Z,40.7595,-73.9681,B02598
2014-04-01T00:52:00Z,40.7185,-74.005,B02682
2014-04-01T00:53:00Z,40.7537,-73.9882,B02617
2014-04-01T00:54:00Z,40.7405,-73.9983,B02617
2014-04-01T00:54:00Z,40.6448,-73.9917,B02682
2014-04-01T00:55:00Z,40.7524,-73.996,B02512
2014-04-01T00:55:00Z,40.753,-73.9929,B02598
2014-04-01T00:55:00Z,40.7621,-73.9836,B02682
2014-04-01T00:55:00Z,40.7361,-74.0301,B02682
2014-04-01T00:57:00Z,40.7483,-73.9783,B02617
2014-04-01T00:57:00Z,40.7432,-73.9897,B02682
2014-04-01T00:58:00Z,40.7594,-73.9633,B02598
2014-04-01T00:59:00Z,40.7327,-73.9991,B02598
2014-04-01T00:59:00Z,40.7134,-74.0117,B02598
2014-04-01T00:59:00Z,40.8117,-73.9384,B02682
2014-04-01T01:01:00Z,40.7575,-73.9846,B02512
2014-04-01T01:01:00Z,40.7384,-73.9855,B02764
2014-04-01T01:02:00Z,40.742,-74.0037,B02598
2014-04-01T01:02:00Z,40.7213,-73.9886,B02682
2014-04-01T01:03:00Z,40.728,-73.9992,B02617
2014-04-01T01:03:00Z,40.728,-73.9992,B02617
2014-04-01T01:05:00Z,40.7321,-73.9822,B02598
2014-04-01T01:07:00Z,40.7444,-73.9915,B02617
2014-04-01T01:08:00Z,40.7407,-73.9862,B02682
2014-04-01T01:09:00Z,40.7445,-73.9984,B02598
2014-04-01T01:09:00Z,40.7603,-73.962,B02617
2014-04-01T01:10:00Z,40.6337,-74.0215,B02617
2014-04-01T01:11:00Z,40.8674,-73.8819,B02598
2014-04-01T01:11:00Z,40.8666,-73.8688,B02682
2014-04-01T01:11:00Z,40.7864,-73.9519,B02682
2014-04-01T01:12:00Z,40.7245,-73.9914,B02682
2014-04-01T01:13:00Z,40.7211,-74.0043,B02682
2014-04-01T01:14:00Z,40.7293,-73.9891,B02617
2014-04-01T01:14:00Z,40.7293,-73.9891,B02617
2014-04-01T01:14:00Z,40.759,-73.9776,B02617
2014-04-01T01:14:00Z,40.726,-74.0094,B02682
2014-04-01T01:19:00Z,40.7256,-73.9869,B02512
2014-04-01T01:19:00Z,40.73,-73.9752,B02598
2014-04-01T01:19:00Z,40.7561,-73.9881,B02598
2014-04-01T01:20:00Z,40.7115,-73.9456,B02598
2014-04-01T01:21:00Z,40.7613,-73.9792,B02617
2014-04-01T01:21:00Z,40.7613,-73.9792,B02617
2014-04-01T01:21:00Z,40.7684,-73.9574,B02682
2014-04-01T01:22:00Z,40.6622,-73.9214,B02598
2014-04-01T01:23:00Z,40.7222,-73.986,B02682
2014-04-01T01:23:00Z,40.7632,-73.9929,B02682
2014-04-01T01:23:00Z,40.7212,-74.0003,B02764
2014-04-01T01:24:00Z,40.7258,-73.9921,B02598
2014-04-01T01:24:00Z,40.6877,-73.9866,B02682
2014-04-01T01:24:00Z,40.7312,-74.0013,B02682
2014-04-01T01:25:00Z,40.7211,-73.9879,B02598
2014-04-01T01:27:00Z,40.742,-73.9901,B02598
2014-04-01T01:27:00Z,40.7606,-73.9836,B02682
2014-04-01T01:28:00Z,40.7559,-73.9867,B02617
2014-04-01T01:31:00Z,40.7627,-73.9688,B02764
2014-04-01T01:32:00Z,40.7607,-73.9784,B02598
2014-04-01T01:33:00Z,40.7548,-73.984,B02682
2014-04-01T01:34:00Z,40.6663,-73.9872,B02617
2014-04-01T01:35:00Z,40.7411,-74.0015,B02598
2014-04-01T01:36:00Z,40.7571,-73.9847,B02617
2014-04-01T01:36:00Z,40.7192,-74.0036,B02682
2014-04-01T01:38:00Z,40.7049,-74.0129,B02617
2014-04-01T01:38:00Z,40.7645,-73.9797,B02682
2014-04-01T01:39:00Z,40.7555,-73.9874,B02682
2014-04-01T01:40:00Z,40.7559,-73.9758,B02682
2014-04-01T01:42:00Z,40.6729,-73.9703,B02617
2014-04-01T01:42:00Z,40.7305,-74.002,B02682
2014-04-01T01:46:00Z,40.7659,-73.9691,B02682
2014-04-01T01:47:00Z,40.7039,-73.9349,B02617
2014-04-01T01:47:00Z,40.7421,-74.0039,B02682
2014-04-01T01:48:00Z,40.7591,-73.9684,B02512
2014-04-01T01:48:00Z,40.7323,-73.9961,B02617
2014-04-01T01:48:00Z,40.7323,-73.9961,B02617
2014-04-01T01:49:00Z,40.7271,-73.9803,B02512
2014-04-01T01:51:00Z,40.7536,-73.9852,B02598
2014-04-01T01:51:00Z,40.7251,-73.9951,B02764
2014-04-01T01:52:00Z,40.7293,-73.9811,B02598
2014-04-01T01:53:00Z,40.7595,-73.9734,B02682
2014-04-01T01:54:00Z,40.7149,-74.015,B02598
2014-04-01T01:55:00Z,40.7209,-74.0006,B02598
2014-04-01T01:56:00Z,40.7497,-73.9856,B02598
2014-04-01T02:02:00Z,40.7576,-73.9611,B02617
2014-04-01T02:02:00Z,40.7844,-73.9562,B02682
2014-04-01T02:03:00Z,40.7456,-73.9896,B02682
2014-04-01T02:03:00Z,40.7334,-74.0063,B02682
2014-04-01T02:05:00Z,40.6465,-73.7898,B02598
2014-04-01T02:08:00Z,40.7706,-73.957,B02682
2014-04-01T02:08:00Z,40.7674,-73.9668,B02682
2014-04-01T02:11:00Z,40.6463,-73.7896,B02512
2014-04-01T02:12:00Z,40.7609,-73.9847,B02598
2014-04-01T02:14:00Z,40.7342,-74.0036,B02598
2014-04-01T02:14:00Z,40.6923,-73.9207,B02598
2014-04-01T02:14:00Z,40.7198,-74.0052,B02682
2014-04-01T02:14:00Z,40.7478,-73.9869,B02682
2014-04-01T02:17:00Z,40.7553,-73.9869,B02598
2014-04-01T02:18:00Z,40.758,-73.9818,B02598
2014-04-01T02:19:00Z,40.745,-74.0055,B02617
2014-04-01T02:19:00Z,40.745,-74.0055,B02617
2014-04-01T02:21:00Z,40.7395,-74.0071,B02617
2014-04-01T02:23:00Z,40.7421,-74.0039,B02598
2014-04-01T02:23:00Z,40.7557,-73.9872,B02598
2014-04-01T02:23:00Z,40.7404,-74.0058,B02598
2014-04-01T02:23:00Z,40.7443,-74.0066,B02617
2014-04-01T02:24:00Z,40.7226,-73.9886,B02682
2014-04-01T02:25:00Z,40.7564,-73.9167,B02512
2014-04-01T02:25:00Z,40.726,-73.9835,B02598
2014-04-01T02:27:00Z,40.7599,-73.9817,B02682
2014-04-01T02:28:00Z,40.7527,-73.9849,B02598
2014-04-01T02:28:00Z,40.7255,-73.9933,B02682
2014-04-01T02:30:00Z,40.7517,-73.9864,B02682
2014-04-01T02:31:00Z,40.7666,-73.9531,B02512
2014-04-01T02:32:00Z,40.7662,-73.9523,B02598
2014-04-01T02:32:00Z,40.7293,-73.8033,B02682
2014-04-01T02:33:00Z,40.6612,-73.9974,B02617
2014-04-01T02:33:00Z,41.043,-73.8625,B02682
2014-04-01T02:33:00Z,40.6881,-73.9606,B02682
2014-04-01T02:35:00Z,40.7607,-73.9787,B02598
2014-04-01T02:35:00Z,40.7422,-74.008,B02598
2014-04-01T02:37:00Z,40.6394,-73.9983,B02682
2014-04-01T02:37:00Z,40.7266,-74.0059,B02682
2014-04-01T02:37:00Z,40.7715,-73.9642,B02682
2014-04-01T02:43:00Z,40.758,-73.9761,B02512
2014-04-01T02:44:00Z,40.7421,-73.9748,B02682
2014-04-01T02:47:00Z,40.7527,-73.9887,B02682
2014-04-01T02:50:00Z,40.6508,-74.0079,B02598
2014-04-01T02:53:00Z,40.9182,-74.0869,B02617
2014-04-01T02:53:00Z,40.7474,-73.9913,B02682
2014-04-01T02:53:00Z,40.7443,-74.0066,B02764
2014-04-01T02:54:00Z,40.753,-73.9797,B02682
2014-04-01T02:55:00Z,40.7435,-73.9916,B02682
2014-04-01T02:56:00Z,40.6876,-73.9867,B02617
2014-04-01T02:56:00Z,40.6876,-73.9867,B02617
2014-04-01T02:56:00Z,40.7822,-73.9819,B02682
2014-04-01T02:59:00Z,40.8332,-73.9447,B02682
2014-04-01T03:00:00Z,40.6474,-73.9747,B02682
2014-04-01T03:00:00Z,40.7237,-74.0052,B02682
2014-04-01T03:01:00Z,40.7516,-73.8861,B02617
2014-04-01T03:02:00Z,40.7151,-74.0095,B02598
2014-04-01T03:03:00Z,40.9881,-73.7607,B02617
2014-04-01T03:03:00Z,40.9881,-73.7607,B02617
2014-04-01T03:03:00Z,40.7175,-73.9897,B02682
2014-04-01T03:08:00Z,40.8033,-74.2605,B02682
2014-04-01T03:08:00Z,40.6981,-73.9089,B02682
2014-04-01T03:12:00Z,40.7568,-73.9744,B02617
2014-04-01T03:12:00Z,40.7568,-73.9744,B02617
2014-04-01T03:14:00Z,40.6917,-73.9673,B02617
2014-04-01T03:15:00Z,40.8162,-73.9437,B02682
2014-04-01T03:15:00Z,40.8162,-73.9437,B02682
2014-04-01T03:16:00Z,40.699,-73.9274,B02617
2014-04-01T03:16:00Z,40.7331,-73.9873,B02682
2014-04-01T03:17:00Z,40.7614,-73.9793,B02598
2014-04-01T03:17:00Z,40.7409,-74.0075,B02598
2014-04-01T03:18:00Z,40.7581,-73.9755,B02682
